date,quantity,price,total_sales
2026-07-21,1.0,38.20,38.20
2026-04-21,1.0,38.80,38.80
2026-01-21,1.0,38.35,38.35
2026-01-21,2.0,38.35,76.70
2026-01-21,1.0,38.35,38.35
2025-10-22,1.0,38.20,38.20
2025-10-22,2.0,38.20,76.40
2025-10-22,1.0,38.20,38.20
2025-07-24,1.0,37.10,37.10
2025-04-29,1.0,38.10,38.10
2025-02-03,1.0,39.00,39.00
2025-02-03,2.0,39.00,78.00
2024-10-28,1.0,39.25,39.25
2024-10-28,1.0,39.25,39.25
2024-10-28,1.0,39.25,39.25
2024-07-29,1.0,39.25,39.25
2024-04-19,1.0,39.25,39.25
2024-01-24,1.0,39.00,39.00
2024-01-24,1.0,39.00,39.00
2023-10-20,1.0,39.00,39.00
2023-10-20,1.0,39.00,39.00
2023-10-20,1.0,39.00,39.00
2023-07-26,1.0,39.00,39.00
