effective_start,effective_end,season_name,start_month,end_month,peak_start_hour,peak_end_hour,import_on_peak,import_off_peak,export_on_peak,export_off_peak
2026-07-01,2099-12-31,Summer,6,9,14,19,0.58744,0.14661,0.50358,0.06275
2026-07-01,2099-12-31,Non-Summer,10,5,16,20,0.37022,0.14576,0.28876,0.06190
2026-03-01,2026-06-30,Summer,6,9,14,19,0.54232,0.14421,0.46086,0.06275
2026-03-01,2026-06-30,Non-Summer,10,5,16,20,0.34371,0.14336,0.26225,0.06190
2026-01-01,2026-02-28,Summer,6,9,14,19,0.54232,0.14421,0.46086,0.06275
2026-01-01,2026-02-28,Non-Summer,10,5,16,20,0.34371,0.14336,0.26225,0.06190
2025-06-01,2025-12-31,Summer,6,9,14,19,0.54232,0.14421,0.46086,0.06275
2025-06-01,2025-12-31,Non-Summer,10,5,16,20,0.34371,0.14336,0.26225,0.06190
2023-12-01,2025-05-31,Summer,6,9,14,19,0.51000,0.13800,0.42000,0.06000
2023-12-01,2025-05-31,Non-Summer,10,5,16,20,0.32000,0.13800,0.24000,0.06000

