Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
11/01/2025 00:00,0,1133,45,0,0,1178
11/01/2025 01:00,0,1118,0,1070,38,86
11/01/2025 02:00,0,1114,0,1135,21,0
11/01/2025 03:00,0,1070,0,1187,117,0
11/01/2025 04:00,0,1111,0,1224,113,0
11/01/2025 05:00,0,1007,0,1110,103,0
11/01/2025 06:00,0,1421,0,1535,114,0
11/01/2025 07:00,32,2077,0,2160,115,0
11/01/2025 08:00,703,1335,0,1346,714,0
11/01/2025 09:00,1273,707,0,708,1274,0
11/01/2025 10:00,2687,1159,0,1171,2699,0
11/01/2025 11:00,4006,1390,0,1426,4042,0
11/01/2025 12:00,4304,1334,0,1413,4383,0
11/01/2025 13:00,3878,1623,254,0,2001,0
11/01/2025 14:00,2483,4446,0,2275,312,0
11/01/2025 15:00,718,4435,0,3848,131,0
11/01/2025 16:00,459,847,407,0,0,795
11/01/2025 17:00,46,1438,45,0,0,1437
11/01/2025 18:00,0,1296,0,8,1,1289
11/01/2025 19:00,0,1403,0,10,0,1393
11/01/2025 20:00,0,2393,25,13,13,2418
11/01/2025 21:00,0,4039,36,0,0,4075
11/01/2025 22:00,0,1586,0,842,25,769
11/01/2025 23:00,0,1129,0,1148,19,0
11/02/2025 00:00,0,1130,0,1154,24,0
11/02/2025 01:00,0,1329,0,1351,22,0
11/02/2025 01:00,0,1333,0,1442,109,0
11/02/2025 02:00,0,1207,0,1317,110,0
11/02/2025 03:00,0,1083,0,1188,105,0
11/02/2025 04:00,0,1222,0,1323,101,0
11/02/2025 05:00,0,1461,0,1615,154,0
11/02/2025 06:00,42,1586,0,1634,90,0
11/02/2025 07:00,731,4918,0,4934,747,0
11/02/2025 08:00,1279,5665,0,5682,1296,0
11/02/2025 09:00,2661,5147,0,5187,2701,0
11/02/2025 10:00,3968,4554,0,4597,4011,0
11/02/2025 11:00,4304,4217,0,4263,4350,0
11/02/2025 12:00,3865,5123,0,3339,2081,0
11/02/2025 13:00,2443,4347,0,2086,182,0
11/02/2025 14:00,682,4315,0,3694,61,0
11/02/2025 15:00,447,5338,0,4955,64,0
11/02/2025 16:00,44,782,45,0,0,783
11/02/2025 17:00,0,1732,18,0,0,1750
11/02/2025 18:00,0,1469,0,10,0,1459
11/02/2025 19:00,0,1339,0,4,0,1335
11/02/2025 20:00,0,4237,40,18,18,4277
11/02/2025 21:00,0,2511,31,0,0,2542
11/02/2025 22:00,0,1658,0,1588,47,117
11/02/2025 23:00,0,4803,0,4819,16,0
11/03/2025 00:00,0,4808,0,4816,8,0
11/03/2025 01:00,0,4772,0,4867,96,1
11/03/2025 02:00,0,4791,0,4883,92,0
11/03/2025 03:00,0,1613,0,1704,91,0
11/03/2025 04:00,0,1318,0,1476,158,0
11/03/2025 05:00,0,1640,0,1729,89,0
11/03/2025 06:00,59,1751,0,1833,141,0
11/03/2025 07:00,581,2856,0,2873,598,0
11/03/2025 08:00,741,1911,0,1932,762,0
